date,cancer_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,13895.0,23619197.0,59.0,61.540000000000006
2019-01-07,17364.0,23624719.0,73.0,76.675
2019-01-14,16544.0,23632143.0,70.0,72.97
2019-01-21,16300.0,23638988.0,69.0,71.855
2019-01-28,16587.0,23646947.0,70.0,73.04500000000002
2019-02-04,16646.0,23654659.0,70.0,73.11999999999999
2019-02-11,16715.0,23659946.0,71.0,73.55499999999999
2019-02-18,16083.0,23665827.0,68.0,70.92
2019-02-25,16269.0,23671905.0,69.0,71.72
2019-03-04,16623.0,23676511.0,70.0,73.005
2019-03-11,17151.0,23683479.0,72.0,75.36
2019-03-18,16317.0,23687990.0,69.0,71.58500000000001
2019-03-25,15968.0,23697067.0,67.0,70.185
2019-04-01,16961.0,23695010.0,72.0,74.33999999999999
2019-04-08,16809.0,23707297.0,71.0,73.72999999999999
2019-04-15,14379.0,23711021.0,61.0,63.120000000000005
2019-04-22,15239.0,23713298.0,64.0,66.76
2019-04-29,17287.0,23718332.0,73.0,75.895
2019-05-06,15028.0,23722306.0,63.0,65.82000000000002
2019-05-13,16902.0,23728769.0,71.0,74.03000000000002
2019-05-20,16904.0,23735492.0,71.0,74.01
2019-05-27,14401.0,23740009.0,61.0,63.08500000000001
2019-06-03,16950.0,23746398.0,71.0,74.11500000000002
2019-06-10,16927.0,23754543.0,71.0,73.89
2019-06-17,16079.0,23761788.0,68.0,70.17500000000001
2019-06-24,16792.0,23770206.0,71.0,73.455
2019-07-01,16576.0,23771244.0,70.0,72.23
2019-07-08,16366.0,23785117.0,69.0,71.44000000000001
2019-07-15,16507.0,23789691.0,69.0,71.84500000000001
2019-07-22,16313.0,23796445.0,69.0,71.10500000000002
2019-07-29,16429.0,23802426.0,69.0,71.82000000000001
2019-08-05,16599.0,23807775.0,70.0,72.28
2019-08-12,16565.0,23814150.0,70.0,72.06
2019-08-19,16570.0,23821112.0,70.0,72.11000000000001
2019-08-26,14558.0,23824779.0,61.0,63.365
2019-09-02,17023.0,23832901.0,71.0,73.99000000000002
2019-09-09,16754.0,23841184.0,70.0,72.78
2019-09-16,16755.0,23850455.0,70.0,72.795
2019-09-23,16789.0,23860519.0,70.0,73.02000000000001
2019-09-30,17070.0,23864138.0,72.0,74.10500000000002
2019-10-07,16981.0,23875684.0,71.0,73.69500000000001
2019-10-14,17317.0,23884554.0,73.0,75.13000000000001
2019-10-21,16886.0,23893680.0,71.0,73.35000000000001
2019-10-28,16651.0,23903389.0,70.0,72.31
2019-11-04,17614.0,23912086.0,74.0,76.405
2019-11-11,17172.0,23921107.0,72.0,74.36000000000001
2019-11-18,17322.0,23928414.0,72.0,75.06500000000003
2019-11-25,17250.0,23933825.0,72.0,74.875
2019-12-02,17665.0,23941383.0,74.0,76.445
2019-12-09,17509.0,23946784.0,73.0,75.82500000000003
2019-12-16,17398.0,23951030.0,73.0,75.155
2019-12-23,9682.0,23954008.0,40.0,41.99
2019-12-30,14075.0,23955954.0,59.0,60.915000000000006
2020-01-06,18453.0,23957924.0,77.0,79.805
2020-01-13,17286.0,23964025.0,72.0,74.56500000000003
2020-01-20,17123.0,23970394.0,71.0,73.97500000000001
2020-01-27,17332.0,23978016.0,72.0,74.97999999999999
2020-02-03,17268.0,23985133.0,72.0,74.51
2020-02-10,17207.0,23990464.0,72.0,74.26
2020-02-17,16654.0,23995726.0,69.0,72.045
2020-02-24,16972.0,24000255.0,71.0,73.23
2020-03-02,17461.0,24006358.0,73.0,75.28000000000002
2020-03-09,17294.0,24013653.0,72.0,74.63500000000002
2020-03-16,14908.0,24017215.0,62.0,64.25500000000001
2020-03-23,11360.0,24020164.0,47.0,48.94
2020-03-30,9874.0,24021353.0,41.0,42.56
2020-04-06,8200.0,24022733.0,34.0,35.375
2020-04-13,8234.0,24018826.0,34.0,35.445
2020-04-20,9090.0,24013876.0,38.0,39.135000000000005
2020-04-27,9030.0,24010686.0,38.0,38.955
2020-05-04,8642.0,24008646.0,36.0,37.260000000000005
2020-05-11,10108.0,24006906.0,42.0,43.53
2020-05-18,10201.0,24007251.0,42.0,43.96999999999999
2020-05-25,9391.0,24006234.0,39.0,40.445
2020-06-01,11103.0,24007604.0,46.0,47.614999999999995
2020-06-08,11123.0,24008253.0,46.0,47.83999999999999
2020-06-15,11284.0,24009419.0,47.0,48.465
2020-06-22,12028.0,24010297.0,50.0,51.76500000000001
2020-06-29,12191.0,24011147.0,51.0,52.49
2020-07-06,11962.0,24014105.0,50.0,51.529999999999994
2020-07-13,12644.0,24015400.0,53.0,54.41000000000001
2020-07-20,12413.0,24019031.0,52.0,53.375
2020-07-27,12445.0,24021237.0,52.0,53.37499999999999
2020-08-03,12792.0,24022742.0,53.0,54.92000000000001
2020-08-10,12734.0,24025552.0,53.0,54.61000000000001
2020-08-17,13166.0,24026962.0,55.0,56.474999999999994
2020-08-24,13354.0,24026794.0,56.0,57.39999999999999
2020-08-31,12052.0,24026990.0,50.0,51.715
2020-09-07,13765.0,24032832.0,57.0,58.804999999999986
2020-09-14,13731.0,24033068.0,57.0,58.905
2020-09-21,13953.0,24038036.0,58.0,59.879999999999995
2020-09-28,14089.0,24040465.0,59.0,60.30500000000001
2020-10-05,14374.0,24049153.0,60.0,61.54500000000001
2020-10-12,14616.0,24053926.0,61.0,62.49
2020-10-19,14455.0,24060061.0,60.0,61.725000000000016
2020-10-26,14047.0,24065286.0,58.0,60.265
2020-11-02,14577.0,24069750.0,61.0,62.150000000000006
2020-11-09,14624.0,24074213.0,61.0,62.49
2020-11-16,14397.0,24078398.0,60.0,61.555000000000014
2020-11-23,14529.0,24081767.0,60.0,62.184999999999995
2020-11-30,14842.0,24084556.0,62.0,63.575
2020-12-07,15109.0,24088259.0,63.0,64.55499999999999
2020-12-14,15099.0,24091733.0,63.0,64.43
2020-12-21,10926.0,24095649.0,45.0,46.62
2020-12-28,9582.0,24096851.0,40.0,40.879999999999995
