date,respiratory_disease_elective,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,1121.0,23619197.0,5.0,4.734999999999999
2019-01-07,1543.0,23624719.0,7.0,6.5649999999999995
2019-01-14,1536.0,23632143.0,6.0,6.495000000000002
2019-01-21,1577.0,23638988.0,7.0,6.665000000000002
2019-01-28,1519.0,23646947.0,6.0,6.53
2019-02-04,1606.0,23654659.0,7.0,6.755000000000001
2019-02-11,1576.0,23659946.0,7.0,6.690000000000001
2019-02-18,1504.0,23665827.0,6.0,6.425000000000001
2019-02-25,1539.0,23671905.0,7.0,6.665000000000001
2019-03-04,1502.0,23676511.0,6.0,6.425000000000001
2019-03-11,1504.0,23683479.0,6.0,6.390000000000001
2019-03-18,1467.0,23687990.0,6.0,6.300000000000002
2019-03-25,1484.0,23697067.0,6.0,6.454999999999999
2019-04-01,1505.0,23695010.0,6.0,6.360000000000001
2019-04-08,1490.0,23707297.0,6.0,6.38
2019-04-15,1182.0,23711021.0,5.0,5.050000000000001
2019-04-22,1211.0,23713298.0,5.0,5.145000000000001
2019-04-29,1506.0,23718332.0,6.0,6.500000000000002
2019-05-06,1161.0,23722306.0,5.0,4.8900000000000015
2019-05-13,1381.0,23728769.0,6.0,5.98
2019-05-20,1485.0,23735492.0,6.0,6.410000000000001
2019-05-27,1034.0,23740009.0,4.0,4.2700000000000005
2019-06-03,1409.0,23746398.0,6.0,6.010000000000001
2019-06-10,1414.0,23754543.0,6.0,6.000000000000001
2019-06-17,1426.0,23761788.0,6.0,6.1850000000000005
2019-06-24,1427.0,23770206.0,6.0,6.0200000000000005
2019-07-01,1379.0,23771244.0,6.0,5.930000000000001
2019-07-08,1397.0,23785117.0,6.0,5.815000000000001
2019-07-15,1371.0,23789691.0,6.0,5.785000000000001
2019-07-22,1364.0,23796445.0,6.0,5.835000000000002
2019-07-29,1427.0,23802426.0,6.0,6.120000000000001
2019-08-05,1407.0,23807775.0,6.0,6.0
2019-08-12,1362.0,23814150.0,6.0,5.665000000000001
2019-08-19,1283.0,23821112.0,5.0,5.47
2019-08-26,1078.0,23824779.0,5.0,4.504999999999999
2019-09-02,1375.0,23832901.0,6.0,5.785
2019-09-09,1327.0,23841184.0,6.0,5.54
2019-09-16,1299.0,23850455.0,5.0,5.6000000000000005
2019-09-23,1433.0,23860519.0,6.0,6.030000000000001
2019-09-30,1453.0,23864138.0,6.0,6.110000000000001
2019-10-07,1424.0,23875684.0,6.0,5.9799999999999995
2019-10-14,1418.0,23884554.0,6.0,5.94
2019-10-21,1454.0,23893680.0,6.0,5.995
2019-10-28,1393.0,23903389.0,6.0,5.86
2019-11-04,1541.0,23912086.0,6.0,6.515000000000001
2019-11-11,1426.0,23921107.0,6.0,6.035
2019-11-18,1598.0,23928414.0,7.0,6.645
2019-11-25,1422.0,23933825.0,6.0,5.915000000000001
2019-12-02,1481.0,23941383.0,6.0,6.24
2019-12-09,1434.0,23946784.0,6.0,6.095
2019-12-16,1494.0,23951030.0,6.0,6.24
2019-12-23,639.0,23954008.0,3.0,2.6250000000000004
2019-12-30,1043.0,23955954.0,4.0,4.345
2020-01-06,1475.0,23957924.0,6.0,6.19
2020-01-13,1502.0,23964025.0,6.0,6.3050000000000015
2020-01-20,1575.0,23970394.0,7.0,6.59
2020-01-27,1471.0,23978016.0,6.0,6.19
2020-02-03,1587.0,23985133.0,7.0,6.575
2020-02-10,1546.0,23990464.0,6.0,6.515
2020-02-17,1515.0,23995726.0,6.0,6.3500000000000005
2020-02-24,1519.0,24000255.0,6.0,6.420000000000001
2020-03-02,1538.0,24006358.0,6.0,6.370000000000001
2020-03-09,1413.0,24013653.0,6.0,6.025
2020-03-16,857.0,24017215.0,4.0,3.5150000000000006
2020-03-23,336.0,24020164.0,1.0,1.4700000000000002
2020-03-30,236.0,24021353.0,1.0,1.01
2020-04-06,228.0,24022733.0,1.0,1.015
2020-04-13,188.0,24018826.0,1.0,0.5700000000000001
2020-04-20,198.0,24013876.0,1.0,0.77
2020-04-27,216.0,24010686.0,1.0,0.9050000000000001
2020-05-04,221.0,24008646.0,1.0,0.92
2020-05-11,253.0,24006906.0,1.0,1.085
2020-05-18,262.0,24007251.0,1.0,1.0350000000000001
2020-05-25,216.0,24006234.0,1.0,0.9000000000000001
2020-06-01,281.0,24007604.0,1.0,1.02
2020-06-08,327.0,24008253.0,1.0,1.5200000000000005
2020-06-15,366.0,24009419.0,2.0,1.555
2020-06-22,416.0,24010297.0,2.0,1.9149999999999998
2020-06-29,442.0,24011147.0,2.0,1.915
2020-07-06,468.0,24014105.0,2.0,2.02
2020-07-13,474.0,24015400.0,2.0,1.96
2020-07-20,547.0,24019031.0,2.0,2.33
2020-07-27,613.0,24021237.0,3.0,2.5549999999999997
2020-08-03,604.0,24022742.0,3.0,2.5399999999999996
2020-08-10,614.0,24025552.0,3.0,2.5949999999999993
2020-08-17,676.0,24026962.0,3.0,2.6950000000000003
2020-08-24,646.0,24026794.0,3.0,2.715
2020-08-31,629.0,24026990.0,3.0,2.645
2020-09-07,744.0,24032832.0,3.0,3.2049999999999996
2020-09-14,751.0,24033068.0,3.0,3.255
2020-09-21,802.0,24038036.0,3.0,3.41
2020-09-28,870.0,24040465.0,4.0,3.5849999999999995
2020-10-05,870.0,24049153.0,4.0,3.68
2020-10-12,879.0,24053926.0,4.0,3.7400000000000007
2020-10-19,931.0,24060061.0,4.0,3.79
2020-10-26,868.0,24065286.0,4.0,3.53
2020-11-02,839.0,24069750.0,3.0,3.535
2020-11-09,836.0,24074213.0,3.0,3.4550000000000005
2020-11-16,869.0,24078398.0,4.0,3.595
2020-11-23,891.0,24081767.0,4.0,3.7800000000000007
2020-11-30,845.0,24084556.0,4.0,3.6350000000000002
2020-12-07,795.0,24088259.0,3.0,3.28
2020-12-14,817.0,24091733.0,3.0,3.3249999999999997
2020-12-21,483.0,24095649.0,2.0,2.0650000000000004
2020-12-28,335.0,24096851.0,1.0,1.3800000000000001
